Species,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14,Rank_15,Rank_16,Rank_17,Rank_18,Rank_19,Rank_20,Rank_21,Rank_22,Rank_23,Rank_24,Rank_25
Acholeplasma oculi,cellular organisms,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,,,,,,,,,,,,
Acholeplasma palmae,cellular organisms,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Alteracholeplasma,,,,,,,,,,,,,,,,,
Achromobacter denitrificans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,,,,,,,,,,,,,,,,
Achromobacter insolitus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,,,,,,,,,,,,,,,,
Achromobacter phage phiAxp-3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Rothmandenesvirinae,Dongdastvirus,Dongdastvirus Axp3,,,,,,,,,,,,,,,,
Achromobacter sp. AONIH1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,unclassified Achromobacter,,,,,,,,,,,,,,,,
Achromobacter spanius,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,,,,,,,,,,,,,,,,
Achromobacter xylosoxidans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,,,,,,,,,,,,,,,,
Acidaminococcus fermentans,cellular organisms,Bacteria,Bacillati,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,,,,,,,,,,,,,,
Acidaminococcus intestini,cellular organisms,Bacteria,Bacillati,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,,,,,,,,,,,,,,
Acidihalobacter prosperus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,,,,,,,,,,,,,,,,,
Acidimicrobium ferrooxidans,cellular organisms,Bacteria,Bacillati,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,,,,,,,,,,,,,,,,,
Acidiphilium cryptum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acidocellaceae,Acidiphilium,,,,,,,,,,,,,,,,,
Acidiphilium multivorum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acidocellaceae,Acidiphilium,,,,,,,,,,,,,,,,,
Acidipropionibacterium acidipropionici,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,,,,,,,,,,,,,,,,,
Acidithiobacillus caldus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,,,,,,,,,,,,,,,,
Acidithiobacillus ferrivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,,,,,,,,,,,,,,,,
Acidithiobacillus ferrooxidans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,,,,,,,,,,,,,,,,
Acidobacterium capsulatum,cellular organisms,Bacteria,Pseudomonadati,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Acidobacterium,,,,,,,,,,,,,,,,,
Acidothermus cellulolyticus,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,Acidothermus,,,,,,,,,,,,,,,,,
Acidovorax avenae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,,,,,,,,,,,,,,,,,
Acidovorax citrulli,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,,,,,,,,,,,,,,,,,
Acidovorax ebreus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,,,,,,,,,,,,,,,,,
Acidovorax sp. JS42,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified Acidovorax,,,,,,,,,,,,,,,,
Acidovorax sp. KKS102,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified Acidovorax,,,,,,,,,,,,,,,,
Acidovorax sp. NA2,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,,,,,,,,,,,,,,,,,
Acidovorax sp. NA3,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,,,,,,,,,,,,,,,,,
Acidovorax sp. P4,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,,,,,,,,,,,,,,,,,
Acidovorax sp. RAC01,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified Acidovorax,,,,,,,,,,,,,,,,
Acidovorax sp. T1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,unclassified Acidovorax,,,,,,,,,,,,,,,,
Acinetobacter baumannii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,
Acinetobacter bereziniae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter calcoaceticus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,
Acinetobacter equi,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter haemolyticus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter johnsonii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter junii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter lactucae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,
Acinetobacter larvae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter nosocomialis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,
Acinetobacter oleivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter phage Ac42,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Twarogvirinae,unclassified Twarogvirinae,,,,,,,,,,,,,,,,,
Acinetobacter phage Acj61,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Twarogvirinae,Lasallevirus,Acinetobacter virus Acj61,,,,,,,,,,,,,,,,
Acinetobacter phage Acj9,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Twarogvirinae,Acajnonavirus,Acajnonavirus acj9,,,,,,,,,,,,,,,,
Acinetobacter phage IME_AB3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Lokivirus,Lokivirus IMEAB3,,,,,,,,,,,,,,,,,,
Acinetobacter phage LZ35,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Obolenskvirus,Obolenskvirus LZ35,,,,,,,,,,,,,,,,,,
Acinetobacter phage Presley,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schitoviridae,Presleyvirus,Presleyvirus presley,,,,,,,,,,,,,,,,,
Acinetobacter phage YMC13/03/R2096,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Acinetobacter phage ZZ1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Twarogvirinae,Zedzedvirus,Zedzedvirus zz1,,,,,,,,,,,,,,,,
Acinetobacter phage phiAC-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Acinetobacter phage vB_AbaM_Acibel004,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Saclayvirus,unclassified Saclayvirus,,,,,,,,,,,,,,,,,,
Acinetobacter phage vB_AbaM_phiAbaA1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Saclayvirus,unclassified Saclayvirus,,,,,,,,,,,,,,,,,,
Acinetobacter phage vB_AbaP_Acibel007,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Daemvirus,Daemvirus acibel007,,,,,,,,,,,,,,,,
Acinetobacter phage vB_AbaS_TRS1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Acinetobacter pittii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,,,,,,
Acinetobacter schindleri,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter soli,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,,,,,,,,,,,,,,,
Acinetobacter sp. ADP1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baylyi,,,,,,,,,,,,,,,,
Acinetobacter sp. LoGeW2-3,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,unclassified Acinetobacter,,,,,,,,,,,,,,,,
Acinetobacter sp. NCu2D-2,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,unclassified Acinetobacter,,,,,,,,,,,,,,,,
Acinetobacter sp. TGL-Y2,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,unclassified Acinetobacter,,,,,,,,,,,,,,,,
Acinetobacter sp. TTH0-4,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,unclassified Acinetobacter,,,,,,,,,,,,,,,,
Acinetobacter virus 133,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Tevenvirinae,,,,,,,,,,,,,,,,,,
Acinetobacter virus AB3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Friunavirus,,,,,,,,,,,,,,,,,
Acinetobacter virus AP22,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Obolenskvirus,,,,,,,,,,,,,,,,,,,
Acinetobacter virus Abp1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Friunavirus,,,,,,,,,,,,,,,,,
Acinetobacter virus Fri1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Friunavirus,,,,,,,,,,,,,,,,,
Acinetobacter virus IME200,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Friunavirus,,,,,,,,,,,,,,,,,
Acinetobacter virus PD6A3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Friunavirus,,,,,,,,,,,,,,,,,
Acinetobacter virus phiAB1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Beijerinckvirinae,Friunavirus,,,,,,,,,,,,,,,,,
Actinoalloteichus hoggarensis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,,,,,,,,,,,,,,,,,
Actinoalloteichus hymeniacidonis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,,,,,,,,,,,,,,,,,
Actinoalloteichus sp. ADI127-7,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,,,,,,,,,,,,,,,,,
Actinoalloteichus sp. AHMU CJ021,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,unclassified Actinoalloteichus,,,,,,,,,,,,,,,,
Actinoalloteichus sp. GBA129-24,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,unclassified Actinoalloteichus,,,,,,,,,,,,,,,,
Actinobacillus equuli,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,,,,,,,,,,,,,,,,,
Actinobacillus pleuropneumoniae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,,,,,,,,,,,,,,,,,
Actinobacillus succinogenes,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,,,,,,,,,,,,,,,,,
Actinobacillus suis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,,,,,,,,,,,,,,,,,
Actinobacteria bacterium IMCC19121,cellular organisms,Bacteria,Bacillati,Actinomycetota,unclassified Actinomycetota,,,,,,,,,,,,,,,,,,,,
Actinobacteria bacterium IMCC25003,cellular organisms,Bacteria,Bacillati,Actinomycetota,unclassified Actinomycetota,,,,,,,,,,,,,,,,,,,,
Actinobacteria bacterium IMCC26077,cellular organisms,Bacteria,Bacillati,Actinomycetota,unclassified Actinomycetota,,,,,,,,,,,,,,,,,,,,
Actinobacteria bacterium IMCC26256,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,unclassified Actinomycetes,,,,,,,,,,,,,,,,,,,
Actinomyces gaoshouyii,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,,,,,,,,,,,,,,,,,
Actinomyces meyeri,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,,,,,,,,,,,,,,,,,
Actinomyces oris,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,,,,,,,,,,,,,,,,,
Actinomyces pacaensis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,,,,,,,,,,,,,,,,,
Actinomyces radicidentis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,,,,,,,,,,,,,,,,,
Actinomyces sp. Chiba101,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified Actinomyces,,,,,,,,,,,,,,,,
Actinomyces sp. VUL4_3,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Boudabousia,,,,,,,,,,,,,,,,,
Actinomyces sp. oral taxon 414,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,unclassified Actinomyces,,,,,,,,,,,,,,,,
Actinomyces virus Av1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Dybvigvirus,,,,,,,,,,,,,,,,,,,
Actinoplanes friuliensis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,,,,,,,,,,,,,,,,,
Actinoplanes missouriensis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,,,,,,,,,,,,,,,,,
Actinoplanes sp. N902-109,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes,unclassified Actinoplanes,,,,,,,,,,,,,,,,
Actinopolyspora erythraea,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,,,,,,,,,,,,,,,,,
Actinosynnema mirum,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,,,,,,,,,,,,,,,,,
Actinosynnema pretiosum,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,,,,,,,,,,,,,,,,,
Actinotignum schaalii,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinotignum,,,,,,,,,,,,,,,,,
Adlercreutzia equolifaciens,cellular organisms,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,,,,,,,,,,,,,,,,,
Advenella kashmirensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,,,,,,,,,,,,,,,,,
Advenella mimigardefordensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,,,,,,,,,,,,,,,,,
Aequorivita sublithincola,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,,,,,,,,,,,,,,,
Aeribacillus pallidus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Aeribacillus,,,,,,,,,,,,,,,,,
Aerococcus christensenii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,,,,,,,,,,,,
Aerococcus sanguinicola,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,,,,,,,,,,,,
Aerococcus urinae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,,,,,,,,,,,,
Aerococcus urinaeequi,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,,,,,,,,,,,,
Aerococcus urinaehominis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,,,,,,,,,,,,
Aerococcus viridans,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,,,,,,,,,,,,
Aeromicrobium erythreum,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,,,,,,,,,,,,,,,,
Aeromonas aquatica,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas caviae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas dhakensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas hydrophila,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas media,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas phage CC2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Emmerichvirinae,Ceceduovirus,Ceceduovirus cc2,,,,,,,,,,,,,,,,
Aeromonas phage PX29,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Angelvirus,Angelvirus px29,,,,,,,,,,,,,,,,,
Aeromonas phage phiAS5,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Chrysonvirus,Chrysonvirus as5,,,,,,,,,,,,,,,,,
Aeromonas phage phiAS7,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Melnykvirinae,Aerosvirus,Aerosvirus AS7,,,,,,,,,,,,,,,,
Aeromonas phage vB_AsaM-56,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Popoffvirus,Popoffvirus pv56,,,,,,,,,,,,,,,,,,
Aeromonas salmonicida,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas schubertii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas sp. ASNIH3,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified Aeromonas,,,,,,,,,,,,,,,,
Aeromonas sp. ASNIH5,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified Aeromonas,,,,,,,,,,,,,,,,
Aeromonas sp. ASNIH7,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified Aeromonas,,,,,,,,,,,,,,,,
